run_id,run_name,class1,class2,class3,artifact_name,artifact_epoch,val_loss,val_accuracy,calculated_mean,calculated_std
8v7j1q7j,unsettling-scream-1343,breakwater,running_shoe,mixing_bowl,FoaEBjyQ4pKQibmRdfLE73_13.pth,13,0.6600780487060547,0.8079231977462769,"[0.5178992748260498, 0.5039118528366089, 0.4850257337093353]","[0.28022700548171997, 0.28117093443870544, 0.30005204677581787]"
8v7j1q7j,unsettling-scream-1343,breakwater,running_shoe,mixing_bowl,FoaEBjyQ4pKQibmRdfLE73_52.pth,52,0.6462230682373047,0.8307322859764099,"[0.5178992748260498, 0.5039118528366089, 0.4850257337093353]","[0.28022700548171997, 0.28117093443870544, 0.30005204677581787]"
d3hhz4js,ghostly-fantasy-1342,pajama,schooner,black_and_gold_garden_spider,SAxo8rRqbJmK33q6GPME5F_15.pth,15,0.3397858738899231,0.9194244742393494,"[0.5037416815757751, 0.5023298263549805, 0.4697614908218384]","[0.26076483726501465, 0.2536565065383911, 0.2829560935497284]"
d3hhz4js,ghostly-fantasy-1342,pajama,schooner,black_and_gold_garden_spider,SAxo8rRqbJmK33q6GPME5F_71.pth,71,0.3644361197948456,0.92949640750885,"[0.5037416815757751, 0.5023298263549805, 0.4697614908218384]","[0.26076483726501465, 0.2536565065383911, 0.2829560935497284]"
q0kexl4b,uncanny-force-1341,indigo_bunting,mashed_potato,vizsla,AhMocMYCive6EuoUi6ugpm_9.pth,9,0.3024377226829529,0.8953846096992493,"[0.4936072826385498, 0.4637037217617035, 0.35763436555862427]","[0.24639125168323517, 0.23583801090717316, 0.24705743789672852]"
q0kexl4b,uncanny-force-1341,indigo_bunting,mashed_potato,vizsla,AhMocMYCive6EuoUi6ugpm_43.pth,43,0.3334388732910156,0.9035897254943848,"[0.4936072826385498, 0.4637037217617035, 0.35763436555862427]","[0.24639125168323517, 0.23583801090717316, 0.24705743789672852]"
3drumooq,moonlit-poltergeist-1340,siamese_cat,indigo_bunting,strawberry,NDa4yfErR3P8vx3gH5PNt9_17.pth,17,0.2311820238828659,0.9357696771621704,"[0.5149713158607483, 0.44569262862205505, 0.375923752784729]","[0.2740687429904938, 0.2732201814651489, 0.28248459100723267]"
3drumooq,moonlit-poltergeist-1340,siamese_cat,indigo_bunting,strawberry,NDa4yfErR3P8vx3gH5PNt9_47.pth,47,0.1973342150449752,0.9512735605239868,"[0.5149713158607483, 0.44569262862205505, 0.375923752784729]","[0.2740687429904938, 0.2732201814651489, 0.28248459100723267]"
e9l4fdxx,faded-husk-1339,dock,schooner,sea_slug,ab55LnvwtcNZaL35HXPMoF_13.pth,13,0.47391441464424133,0.873403012752533,"[0.46110132336616516, 0.45183324813842773, 0.4254785180091858]","[0.27110347151756287, 0.26556968688964844, 0.289907842874527]"
e9l4fdxx,faded-husk-1339,dock,schooner,sea_slug,ab55LnvwtcNZaL35HXPMoF_36.pth,36,0.4726242125034332,0.8815330862998962,"[0.46110132336616516, 0.45183324813842773, 0.4254785180091858]","[0.27110347151756287, 0.26556968688964844, 0.289907842874527]"
5uwwns0r,elusive-bat-1338,pick,barn_spider,borzoi,BqRooaH5Swg6vDo5dbkhjd_14.pth,14,0.7364335656166077,0.7702479362487793,"[0.4895125925540924, 0.46023496985435486, 0.4164866507053375]","[0.2990280091762543, 0.2919354736804962, 0.30337366461753845]"
5uwwns0r,elusive-bat-1338,pick,barn_spider,borzoi,BqRooaH5Swg6vDo5dbkhjd_68.pth,68,0.7359548807144165,0.7933884263038635,"[0.4895125925540924, 0.46023496985435486, 0.4164866507053375]","[0.2990280091762543, 0.2919354736804962, 0.30337366461753845]"
in9g0hfn,forlorn-mummy-1337,schooner,red_wolf,chambered_nautilus,MGv5F8ZBgXAnhZ6rCMynQU_9.pth,9,2.931640148162842,0.6315789222717285,"[0.4606480598449707, 0.4627630114555359, 0.4335147738456726]","[0.2740730345249176, 0.2661404311656952, 0.2828264534473419]"
in9g0hfn,forlorn-mummy-1337,schooner,red_wolf,chambered_nautilus,MGv5F8ZBgXAnhZ6rCMynQU_42.pth,42,1.1627854108810425,0.7699248194694519,"[0.4606480598449707, 0.4627630114555359, 0.4335147738456726]","[0.2740730345249176, 0.2661404311656952, 0.2828264534473419]"
4mxpalgd,ghostly-darkness-1336,carpenter's_kit,cellular_telephone,bolete,6j5f2rtALKeDF7JSP3XkNe_10.pth,10,0.8052058815956116,0.7900621294975281,"[0.4935002028942108, 0.46113139390945435, 0.4119877517223358]","[0.30614155530929565, 0.30066239833831787, 0.31291961669921875]"
