run_id,run_name,class1,class2,class3,artifact_name,val_loss
4qxm86rl,stoic-darkness-60,sea_slug,appenzeller,soft-coated_wheaten_terrier,gZSVQ6EG7SaHUPK7NY3oqa_20.pth,0.1185158789157867
4qxm86rl,stoic-darkness-60,sea_slug,appenzeller,soft-coated_wheaten_terrier,gZSVQ6EG7SaHUPK7NY3oqa_121.pth,0.2279391288757324
7ynabl8h,vivid-aardvark-61,running_shoe,tow_truck,missile,36VbQgWPBQaRkcwZ78orSk_22.pth,0.6702003479003906
7ynabl8h,vivid-aardvark-61,running_shoe,tow_truck,missile,36VbQgWPBQaRkcwZ78orSk_120.pth,0.7073783874511719
kr1ujz2e,serene-butterfly-62,strawberry,pug,necklace,nzBPssej9F5jYPe9znYrea_21.pth,0.7737321257591248
kr1ujz2e,serene-butterfly-62,strawberry,pug,necklace,nzBPssej9F5jYPe9znYrea_86.pth,0.6529563665390015
9774b8tp,winter-disco-63,borzoi,planetarium,pajama,aZe5zwG3DVffPhvqXr6pu6_15.pth,0.7525097131729126
9774b8tp,winter-disco-63,borzoi,planetarium,pajama,aZe5zwG3DVffPhvqXr6pu6_101.pth,0.6893889904022217
z8shdukb,worthy-dew-64,cellular_telephone,sewing_machine,vizsla,aQYEPkwmqJt5YKTmURNwbs_14.pth,0.6922481656074524
z8shdukb,worthy-dew-64,cellular_telephone,sewing_machine,vizsla,aQYEPkwmqJt5YKTmURNwbs_92.pth,1.958626747131348
h24a52xg,silvery-sunset-65,barn_spider,ruddy_turnstone,airedale,4HVkPxToEL33oSNmJePKUS_20.pth,1.58478844165802
h24a52xg,silvery-sunset-65,barn_spider,ruddy_turnstone,airedale,4HVkPxToEL33oSNmJePKUS_113.pth,2.0613489151000977
zxe9cxvv,stellar-voice-66,otterhound,chimpanzee,ant,G6vxneeP2gMYjXWnhEC5pg_20.pth,0.8331363797187805
zxe9cxvv,stellar-voice-66,otterhound,chimpanzee,ant,G6vxneeP2gMYjXWnhEC5pg_125.pth,1.750766396522522
87kpfjp8,wild-leaf-67,canoe,barometer,american_lobster,ZdR4pUSjRxjczqgEitCQKH_21.pth,0.173203557729721
87kpfjp8,wild-leaf-67,canoe,barometer,american_lobster,ZdR4pUSjRxjczqgEitCQKH_113.pth,0.2577460706233978
