Name,ID,data.classes,seed,optimizer_name,epoch,training.early_epoch,training.max_epoch,val_accuracy,val_loss,calculated_mean,calculated_std,artifacts
unsettling-scream-1343,8v7j1q7j,"[breakwater,running_shoe,mixing_bowl]",6287,SGD,51,14,52,0.8307322859764099,0.6462230682373047,"[0.5178992748260498, 0.5039118528366089, 0.4850257337093353]","[0.28022700548171997, 0.28117093443870544, 0.30005204677581787]","['FoaEBjyQ4pKQibmRdfLE73_13.pth', 'FoaEBjyQ4pKQibmRdfLE73_52.pth']"
ghostly-fantasy-1342,d3hhz4js,"[pajama,schooner,black_and_gold_garden_spider]",1930,Adam,70,16,71,0.92949640750885,0.3644361197948456,"[0.5037416815757751, 0.5023298263549805, 0.4697614908218384]","[0.26076483726501465, 0.2536565065383911, 0.2829560935497284]","['SAxo8rRqbJmK33q6GPME5F_15.pth', 'SAxo8rRqbJmK33q6GPME5F_71.pth']"
uncanny-force-1341,q0kexl4b,"[indigo_bunting,mashed_potato,vizsla]",7125,SGD,42,10,43,0.9035897254943848,0.3334388732910156,"[0.4936072826385498, 0.4637037217617035, 0.35763436555862427]","[0.24639125168323517, 0.23583801090717316, 0.24705743789672852]","['AhMocMYCive6EuoUi6ugpm_9.pth', 'AhMocMYCive6EuoUi6ugpm_43.pth']"
moonlit-poltergeist-1340,3drumooq,"[siamese_cat,indigo_bunting,strawberry]",197,SGD,46,18,47,0.9512735605239868,0.1973342150449752,"[0.5149713158607483, 0.44569262862205505, 0.375923752784729]","[0.2740687429904938, 0.2732201814651489, 0.28248459100723267]","['NDa4yfErR3P8vx3gH5PNt9_17.pth', 'NDa4yfErR3P8vx3gH5PNt9_47.pth']"
faded-husk-1339,e9l4fdxx,"[dock,schooner,sea_slug]",7777,SGD,35,14,36,0.8815330862998962,0.4726242125034332,"[0.46110132336616516, 0.45183324813842773, 0.4254785180091858]","[0.27110347151756287, 0.26556968688964844, 0.289907842874527]","['ab55LnvwtcNZaL35HXPMoF_13.pth', 'ab55LnvwtcNZaL35HXPMoF_36.pth']"
elusive-bat-1338,5uwwns0r,"[pick,barn_spider,borzoi]",2931,SGD,67,15,68,0.7933884263038635,0.7359548807144165,"[0.4895125925540924, 0.46023496985435486, 0.4164866507053375]","[0.2990280091762543, 0.2919354736804962, 0.30337366461753845]","['BqRooaH5Swg6vDo5dbkhjd_14.pth', 'BqRooaH5Swg6vDo5dbkhjd_68.pth']"
forlorn-mummy-1337,in9g0hfn,"[schooner,red_wolf,chambered_nautilus]",8004,SGD,41,10,42,0.7699248194694519,1.1627854108810425,"[0.4606480598449707, 0.4627630114555359, 0.4335147738456726]","[0.2740730345249176, 0.2661404311656952, 0.2828264534473419]","['MGv5F8ZBgXAnhZ6rCMynQU_9.pth', 'MGv5F8ZBgXAnhZ6rCMynQU_42.pth']"
ghostly-darkness-1336,4mxpalgd,"[carpenter's_kit,cellular_telephone,bolete]",2327,SGD,52,11,53,0.8086956739425659,0.811995804309845,"[0.4935002028942108, 0.46113139390945435, 0.4119877517223358]","[0.30614155530929565, 0.30066239833831787, 0.31291961669921875]","['6j5f2rtALKeDF7JSP3XkNe_10.pth', '6j5f2rtALKeDF7JSP3XkNe_53.pth']"
frightful-labyrinth-1335,2zhllbve,"[breakwater,ibizan_hound,angora]",4389,Adam,44,12,45,0.8514851331710815,0.7215251326560974,"[0.47748130559921265, 0.4728478491306305, 0.4490087628364563]","[0.253460556268692, 0.25105518102645874, 0.27618110179901123]","['Q2h9HWkTfhNyquMxRtAMVV_11.pth', 'Q2h9HWkTfhNyquMxRtAMVV_45.pth']"
endless-incantation-1334,ck1v3euw,"[paddle,indigo_bunting,tow_truck]",8958,Adam,42,15,43,0.8616600632667542,0.6507976055145264,"[0.47228899598121643, 0.48796793818473816, 0.43230605125427246]","[0.2632966935634613, 0.2540254294872284, 0.2785012722015381]","['Z2RCRcgYPP6fJQeJCG2Rvd_14.pth', 'Z2RCRcgYPP6fJQeJCG2Rvd_43.pth']"
