class1,class2,class3,distance_score,semantic_score
sea_slug,Appenzeller,soft-coated_wheaten_terrier,0.11428571428571428,0.07851609287114018
running_shoe,tow_truck,missile,0.10277777777777779,0.14116048411613788
strawberry,pug,necklace,0.07380952380952381,0.1901854416568729
borzoi,planetarium,pajama,0.08167989417989417,0.10330421559799459
cellular_telephone,sewing_machine,vizsla,0.07377450980392157,0.08302183022901384
barn_spider,ruddy_turnstone,Airedale,0.07474747474747474,0.08316610212520496
otterhound,chimpanzee,ant,0.0803030303030303,0.09839520291329706
canoe,barometer,American_lobster,0.06615497076023391,0.09023913325165826
red_wolf,pick,Ibizan_hound,0.08031442241968557,0.1947528430224236
mashed_potato,vacuum,breakwater,0.06666666666666667,0.06727829854667648
sewing_machine,limpkin,chambered_nautilus,0.07494588744588744,0.1068470609730137
mud_turtle,black_and_gold_garden_spider,police_van,0.06082621082621082,0.27810571969017794
mixing_bowl,carpenter's_kit,lesser_panda,0.07625272331154685,0.13825431313491887
crash_helmet,paddle,Angora,0.068218954248366,0.12375013373215067
dock,ruddy_turnstone,trombone,0.06548821548821548,0.17648271961192952
police_van,wire-haired_fox_terrier,schooner,0.07680311890838205,0.20439041936753788
bolete,maillot,acoustic_guitar,0.08585858585858586,0.23106167005871692
borzoi,Siamese_cat,indigo_bunting,0.09166666666666666,0.3745251936292962
proboscis_monkey,geyser,shower_cap,0.06965488215488215,0.2640352412340375
bassoon,crayfish,minivan,0.061935885465297234,0.10420017971400146
chain,Staffordshire_bullterrier,jean,0.05921052631578947,0.11017552223554543
green_lizard,desktop_computer,Border_collie,0.06008403361344538,0.190324140199033
rubber_eraser,swimming_trunks,house_finch,0.07377450980392157,0.1447342643763001
ram,potter's_wheel,china_cabinet,0.09696969696969697,0.15618707739713408
pencil_sharpener,cabbage_butterfly,cockroach,0.09226190476190477,0.262098350703253
ballpoint,perfume,letter_opener,0.06602870813397128,0.13992416978268504
jack-o'-lantern,Pembroke,picket_fence,0.058020050125313284,0.06155323016699236
