run_id,run_name,class1,class2,class3,early_epoch,max_epoch,val_loss,weights,downloaded_artifacts,early_epoch_val_loss
4qxm86rl,stoic-darkness-60,sea_slug,appenzeller,soft-coated_wheaten_terrier,21,121,0.2279391288757324,"gZSVQ6EG7SaHUPK7NY3oqa_20.pth, gZSVQ6EG7SaHUPK7NY3oqa_121.pth",,0.11851587891578674
7ynabl8h,vivid-aardvark-61,running_shoe,tow_truck,missile,23,120,0.7073783874511719,"36VbQgWPBQaRkcwZ78orSk_22.pth, 36VbQgWPBQaRkcwZ78orSk_120.pth",,0.6702003479003906
kr1ujz2e,serene-butterfly-62,strawberry,pug,necklace,22,86,0.6529563665390015,"nzBPssej9F5jYPe9znYrea_21.pth, nzBPssej9F5jYPe9znYrea_86.pth",,0.7737321257591248
9774b8tp,winter-disco-63,borzoi,planetarium,pajama,16,101,0.6893889904022217,"aZe5zwG3DVffPhvqXr6pu6_15.pth, aZe5zwG3DVffPhvqXr6pu6_101.pth",,0.7525097131729126
z8shdukb,worthy-dew-64,cellular_telephone,sewing_machine,vizsla,15,92,1.958626747131348,"aQYEPkwmqJt5YKTmURNwbs_14.pth, aQYEPkwmqJt5YKTmURNwbs_92.pth",,0.6922481656074524
h24a52xg,silvery-sunset-65,barn_spider,ruddy_turnstone,airedale,21,113,2.0613489151000977,"4HVkPxToEL33oSNmJePKUS_20.pth, 4HVkPxToEL33oSNmJePKUS_113.pth",,1.58478844165802
zxe9cxvv,stellar-voice-66,otterhound,chimpanzee,ant,21,125,1.750766396522522,"G6vxneeP2gMYjXWnhEC5pg_20.pth, G6vxneeP2gMYjXWnhEC5pg_125.pth",,0.8331363797187805
87kpfjp8,wild-leaf-67,canoe,barometer,american_lobster,22,113,0.2577460706233978,"ZdR4pUSjRxjczqgEitCQKH_21.pth, ZdR4pUSjRxjczqgEitCQKH_113.pth",,0.17320355772972107
jqxs72e5,toasty-sky-68,red_wolf,pick,ibizan_hound,19,100,0.188417911529541,"H3Yg8fBJjDigtr5Y3JanNb_18.pth, H3Yg8fBJjDigtr5Y3JanNb_100.pth",,0.3831528425216675
szj4msba,clear-dragon-69,mashed_potato,vacuum,breakwater,17,94,1.648184895515442,"nYdfNnbBJ3X7fMZrpf3BfR_16.pth, nYdfNnbBJ3X7fMZrpf3BfR_94.pth",,1.659422516822815
